0.08 4.81
0.80 4.80
-4.60 3.26
-3.40 -4.46
-1.59 -1.96
-0.91 -1.65
-3.17 4.10
-0.42 1.45
4.41 -4.78
3.28 -0.19
2.70 -3.35
3.85 1.52
-3.26 -2.86
-3.46 3.87
-1.44 -4.74
-1.02 3.63
-4.93 4.78
3.43 -4.53
3.04 -4.96
-3.99 -3.55
-1.92 0.10
-0.20 -0.09
-0.80 4.39
-3.64 -1.39
4.61 4.64
3.42 2.31
-3.71 2.27
-1.17 -1.97
4.41 0.38
-3.10 -2.03
0.64 0.87
-3.40 0.71
0.65 -4.97
1.18 -1.31
-4.93 2.19
0.14 -1.85
-2.71 4.95
3.06 1.49
4.33 4.42
-4.90 3.94
4.07 3.52
1.25 -4.65
0.79 -4.91
-1.61 0.20
0.46 0.28
3.17 -3.90
-3.85 4.77
1.81 1.81
4.81 -2.01
-4.50 4.88
