3.57 -3.90
-2.62 -1.81
3.87 2.13
-2.92 -2.21
-2.77 -4.34
1.82 2.44
-2.86 3.67
-2.85 2.16
-0.35 -0.97
-3.25 -0.54
-3.26 -3.21
2.21 -1.75
-2.36 -0.43
-4.70 -4.27
-1.87 3.14
0.29 -3.30
4.24 2.67
-0.11 3.11
-0.20 1.96
-4.10 2.03
2.62 2.72
-0.53 4.76
1.40 1.63
1.92 -3.96
-4.35 3.66
0.50 -2.61
-4.54 -2.28
0.64 -1.90
2.29 0.94
-1.18 -4.58
-0.92 4.12
-2.89 -1.68
1.78 2.00
-3.57 -3.42
-1.04 -2.66
3.61 -3.42
-4.94 -1.92
-3.65 1.46
4.71 3.27
2.50 -4.64
1.93 -1.99
-2.25 2.39
0.72 3.39
-4.52 -1.99
-0.67 -0.70
-1.57 3.41
-1.58 0.54
-3.26 -4.80
-2.46 -1.83
-3.21 1.50
